subchannel,region,brand,week,variable,value
Subchannel A,Region A,Brand A,2025-10-11,total_distribution,1.52631578947368
Subchannel A,Region A,Brand A,2025-10-18,total_distribution,1.27272727272727
Subchannel A,Region A,Brand A,2025-10-25,total_distribution,1.58064516129032
Subchannel A,Region A,Brand A,2025-11-01,total_distribution,1.66666666666666
Subchannel A,Region A,Brand A,2025-11-08,total_distribution,1.79166666666666
Subchannel A,Region A,Brand A,2025-11-15,total_distribution,1.42857142857142
Subchannel A,Region A,Brand A,2025-11-22,total_distribution,1.42307692307692
Subchannel A,Region A,Brand A,2025-11-29,total_distribution,1.76470588235294
Subchannel A,Region A,Brand A,2025-12-06,total_distribution,1.57692307692307
Subchannel A,Region A,Brand A,2025-12-13,total_distribution,1.6
Subchannel A,Region A,Brand A,2025-12-20,total_distribution,1.55882352941176
Subchannel A,Region A,Brand A,2025-12-27,total_distribution,1.60869565217391
Subchannel A,Region A,Brand A,2026-01-03,total_distribution,1.70588235294117
Subchannel A,Region B,Brand A,2021-01-09,total_distribution,1.83333333333333
Subchannel A,Region B,Brand A,2021-01-16,total_distribution,1.71428571428571
Subchannel A,Region B,Brand A,2021-01-23,total_distribution,1.66666666666666
Subchannel A,Region B,Brand A,2021-01-30,total_distribution,2.1
Subchannel A,Region B,Brand A,2021-02-06,total_distribution,2.1
Subchannel A,Region B,Brand A,2021-02-13,total_distribution,1.125
Subchannel A,Region B,Brand A,2021-02-20,total_distribution,1.33333333333333
Subchannel A,Region B,Brand A,2021-02-27,total_distribution,2.54545454545454
Subchannel A,Region B,Brand A,2021-03-06,total_distribution,1.77777777777777
Subchannel A,Region B,Brand A,2021-03-13,total_distribution,2.0
Subchannel A,Region B,Brand A,2021-03-20,total_distribution,2.11111111111111
Subchannel A,Region B,Brand A,2021-03-27,total_distribution,1.6
Subchannel A,Region B,Brand A,2021-04-03,total_distribution,1.375
Subchannel A,Region B,Brand A,2021-04-10,total_distribution,1.81818181818181
Subchannel A,Region B,Brand A,2021-04-17,total_distribution,1.55555555555555
Subchannel A,Region B,Brand A,2021-04-24,total_distribution,1.5
Subchannel A,Region B,Brand A,2021-05-01,total_distribution,1.85714285714285
Subchannel A,Region B,Brand A,2021-05-08,total_distribution,2.5
Subchannel A,Region B,Brand A,2021-05-15,total_distribution,1.75
Subchannel A,Region B,Brand A,2021-05-22,total_distribution,2.0
Subchannel A,Region B,Brand A,2021-05-29,total_distribution,1.33333333333333
Subchannel A,Region B,Brand A,2021-06-05,total_distribution,2.44444444444444
Subchannel A,Region B,Brand A,2021-06-12,total_distribution,1.88888888888888
Subchannel A,Region B,Brand A,2021-06-19,total_distribution,2.5
Subchannel A,Region B,Brand A,2021-06-26,total_distribution,1.88888888888888
Subchannel A,Region B,Brand A,2021-07-03,total_distribution,2.0
Subchannel A,Region B,Brand A,2021-07-10,total_distribution,2.28571428571428
Subchannel A,Region B,Brand A,2021-07-17,total_distribution,2.6
Subchannel A,Region B,Brand A,2021-07-24,total_distribution,1.9090909090909
Subchannel A,Region B,Brand A,2021-07-31,total_distribution,2.77777777777777
Subchannel A,Region B,Brand A,2021-08-07,total_distribution,1.9090909090909
Subchannel A,Region B,Brand A,2021-08-14,total_distribution,1.14285714285714
Subchannel A,Region B,Brand A,2021-08-21,total_distribution,1.9090909090909
Subchannel A,Region B,Brand A,2021-08-28,total_distribution,1.66666666666666
Subchannel A,Region B,Brand A,2021-09-04,total_distribution,1.9
Subchannel A,Region B,Brand A,2021-09-11,total_distribution,2.11111111111111
Subchannel A,Region B,Brand A,2021-09-18,total_distribution,1.81818181818181
Subchannel A,Region B,Brand A,2021-09-25,total_distribution,1.42857142857142
Subchannel A,Region B,Brand A,2021-10-02,total_distribution,1.57142857142857
Subchannel A,Region B,Brand A,2021-10-09,total_distribution,1.75
Subchannel A,Region B,Brand A,2021-10-16,total_distribution,1.88888888888888
Subchannel A,Region B,Brand A,2021-10-23,total_distribution,1.84615384615384
Subchannel A,Region B,Brand A,2021-10-30,total_distribution,1.88888888888888
Subchannel A,Region B,Brand A,2021-11-06,total_distribution,1.83333333333333
Subchannel A,Region B,Brand A,2021-11-13,total_distribution,1.33333333333333
Subchannel A,Region B,Brand A,2021-11-20,total_distribution,1.875
Subchannel A,Region B,Brand A,2021-11-27,total_distribution,1.5
Subchannel A,Region B,Brand A,2021-12-04,total_distribution,2.125
Subchannel A,Region B,Brand A,2021-12-11,total_distribution,1.5
Subchannel A,Region B,Brand A,2021-12-18,total_distribution,1.63636363636363
Subchannel A,Region B,Brand A,2021-12-25,total_distribution,1.66666666666666
Subchannel A,Region B,Brand A,2022-01-01,total_distribution,1.28571428571428
Subchannel A,Region B,Brand A,2022-01-08,total_distribution,1.0
Subchannel A,Region B,Brand A,2022-01-15,total_distribution,1.25
Subchannel A,Region B,Brand A,2022-01-22,total_distribution,2.25
Subchannel A,Region B,Brand A,2022-01-29,total_distribution,1.6
Subchannel A,Region B,Brand A,2022-02-05,total_distribution,1.5
Subchannel A,Region B,Brand A,2022-02-12,total_distribution,1.42857142857142
Subchannel A,Region B,Brand A,2022-02-19,total_distribution,1.57142857142857
Subchannel A,Region B,Brand A,2022-02-26,total_distribution,1.55555555555555
Subchannel A,Region B,Brand A,2022-03-05,total_distribution,1.0
Subchannel A,Region B,Brand A,2022-03-12,total_distribution,1.42857142857142
Subchannel A,Region B,Brand A,2022-03-19,total_distribution,2.5
Subchannel A,Region B,Brand A,2022-03-26,total_distribution,2.0
Subchannel A,Region B,Brand A,2022-04-02,total_distribution,1.375
Subchannel A,Region B,Brand A,2022-04-09,total_distribution,1.2
Subchannel A,Region B,Brand A,2022-04-16,total_distribution,1.8
Subchannel A,Region B,Brand A,2022-04-23,total_distribution,1.6
Subchannel A,Region B,Brand A,2022-04-30,total_distribution,1.2
Subchannel A,Region B,Brand A,2022-05-07,total_distribution,1.5
Subchannel A,Region B,Brand A,2022-05-14,total_distribution,1.2
Subchannel A,Region B,Brand A,2022-05-21,total_distribution,1.0
Subchannel A,Region B,Brand A,2022-05-28,total_distribution,2.125
Subchannel A,Region B,Brand A,2022-06-04,total_distribution,1.83333333333333
